"season","genotype","max_height_cm","min_height_cm","max_growth_cm_gdd","r2","method","method_type"
"season_6","PI576399",330.344869986736,2.60798237788746,0.370186231117729,0.960281447641498,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI510757",291.339293083509,2.74584056071638,0.343501946690799,0.960969826261076,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI646266",318.56157821285,4.09831552325453,0.350336023499931,0.961066884761867,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329338",366.536780933957,2.50647604096619,0.418132725168648,0.961088115048743,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI170787",326.511664321157,2.05208342899843,0.423260132369544,0.961224785928773,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570038",280.936521290856,4.90226934592893,0.281019910454283,0.961862749887212,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329645",199.638059495467,2.27900228335178,0.275845341675456,0.961926585490748,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI535795",298.759804110483,1.77045850918897,0.443510271545537,0.962110328898582,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI196583",281.469776596326,2.17720165781564,0.368181087261483,0.962284016362663,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330196",291.606753261043,2.01960957161593,0.390078466386379,0.962424137724805,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570076",326.434520103064,4.95774978102043,0.344380860589084,0.962825437504569,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562991",366.297057183003,5.38085054366885,0.371207666278848,0.963155995373034,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI267573",253.253482702785,2.57074104940253,0.335905411208336,0.963290527081443,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329471",244.298679587073,2.68464589575975,0.319383015477352,0.963431110348322,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570075",250.06919472033,1.64223316917842,0.380683447439294,0.963680352215342,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI620072",271.716132572759,0.558785333217326,0.467365163226812,0.963687179597452,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI533902",236.034378501715,4.38634374894828,0.26305139778415,0.963750800357504,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI35038",298.164234738535,1.69894593653982,0.426681493142388,0.964484155524858,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570373",283.050791192511,1.98641523730754,0.393602206142405,0.964949041140056,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156217",355.831123153978,4.44671136214146,0.381199913872106,0.965039870597519,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329614",337.257094498399,5.05581826225526,0.32102902796711,0.965098735023916,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329541",288.32900698905,3.53827244774057,0.318293379267461,0.965290711678998,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330199",274.930183198425,1.55387620535661,0.390403071732195,0.96540942589925,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329673",282.706700036984,2.01694048799419,0.394155724489783,0.965482661279016,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329517",320.15997743324,2.59520734375343,0.389237454812226,0.965738240799366,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563338",256.939799461246,5.07846788234414,0.241709762251915,0.965774457756772,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562985",241.669843936433,3.56266078602615,0.282459972996246,0.965912953855413,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562897",323.909012714706,3.14715182697692,0.378447094827671,0.966169741147066,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI297171",327.170480081382,3.6911554016466,0.364199216798488,0.966570873578433,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI505717",280.83919109633,1.35872386911069,0.430804177230559,0.966573896853291,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329319",350.572872274474,2.64500779733275,0.410790065688864,0.967460218954512,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI152828",320.524204217788,4.13064264702909,0.36140686130421,0.967826343606022,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI180348",260.416115053203,2.28978407744392,0.401131567711015,0.968000779535437,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569418",338.753530480972,0.744724512170139,0.512927158424617,0.968328582019175,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569421",249.103385685263,1.44696669563775,0.340884899803729,0.968427303733333,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156487",261.703239189292,1.39158460308091,0.394539490903678,0.968501990639547,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330803",314.48292875481,6.01699446860211,0.307350319749777,0.968649687401536,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563355",241.566415311345,3.1416789114638,0.298408637556735,0.968901037544387,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI154750",345.860157897541,3.30862273295791,0.394381747112075,0.969102535827808,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI656015",326.952447542718,5.09496627106719,0.355038050426477,0.96924786767183,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI656065",257.369119189276,0.795363417741748,0.390796308361938,0.969266920636112,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI452692",320.617294692145,2.49020559295575,0.41031927861603,0.969425884931241,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562781",290.735106094402,5.77578586618815,0.300630240812142,0.969750254771519,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330185",395.45565176654,4.25938481128124,0.452147228869999,0.970376366440245,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329518",244.020820221996,2.91189019553428,0.270685879609389,0.970504081876847,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI179749",310.20080218551,2.07045143188881,0.41325167488723,0.970728360117046,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329570",267.963023138955,2.00068881189124,0.357082663995576,0.970874794522514,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI156268",287.039786120676,1.95655503365022,0.398849669085318,0.9708797544719,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329466",324.41107440159,1.38521867299307,0.454744234660557,0.971281465327425,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI506069",306.544353772586,3.85949747398073,0.340736495959808,0.971359707463767,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI563022",304.795185124566,2.87115379740298,0.369089184426579,0.971543088625679,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329585",280.849955747885,5.21774646377655,0.273486039410238,0.971751309529611,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI641836",299.258861404334,1.63349863583549,0.492798365231246,0.971830693416647,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI52606",291.85624359862,9.33163417947483,0.252571857196026,0.971933349308187,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI157035",292.378412662855,2.90547917592102,0.383136033064442,0.972358279377967,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569458",306.318410735171,2.01013835302352,0.404339806216739,0.972808486795538,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329605",345.22369777903,3.261168813756,0.400616781092691,0.97286927923462,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI643008",331.447358088503,3.00627471156964,0.379013324605714,0.973084198643195,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI586541",367.328345018353,3.82781157428455,0.445828642339262,0.973108708533896,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI337680",248.759304860314,3.10725226170288,0.293775767407583,0.973180803336871,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570071",291.754547054989,6.51798583182506,0.258319627154617,0.973475627033151,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329478",274.364681771894,1.54347220946249,0.386407379874404,0.974113558440576,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI521280",301.605740147899,4.79044378397706,0.315795534617196,0.974291412126798,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI655978",254.563376682265,4.08185979048396,0.264548098542231,0.974296817753591,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI455301",285.086858982738,3.35228666729467,0.32710030520564,0.974460973259225,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570388",313.252317474792,2.12481575494832,0.424543684266401,0.974793955690735,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI506114",296.225081551282,4.04106157177942,0.317885821174483,0.974834600171385,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI167093",298.922817595898,1.34595911966785,0.436830630635316,0.97486618585314,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI196598",330.392071206828,4.87807501723448,0.367621851422122,0.975152720397226,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569462",275.440592509992,1.30495079580885,0.409542755311771,0.975491436963688,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329440",289.211275316101,2.34905476048,0.352509988707726,0.975493956876915,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI641817",253.366770247366,1.09790937133618,0.427015020490236,0.975575863965239,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI152923",254.478529179525,2.61433686939746,0.334271028606111,0.975955501765068,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI646251",292.6305530964,2.04127953920298,0.409848891103407,0.976153487670699,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562990",299.592763329867,2.49080897577508,0.369942103745647,0.976193663289127,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI266927",311.597269066888,1.57305958661784,0.441474399918724,0.976262273664477,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI152591",309.15185143492,2.77946064583423,0.358216245196179,0.976339440428136,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569453",275.068950196603,3.85837389737316,0.283868448225862,0.976374850470732,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI535794",270.158992451833,7.80850748089602,0.230358714886608,0.976449173064696,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI453696",316.310293734165,2.23028421432276,0.428493344002764,0.97659665202403,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329506",248.304715465817,2.37551751961958,0.321173142501906,0.97661560631344,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329632",293.627389161132,2.54838784792264,0.352694868275413,0.976688103776623,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI585608",323.243515105938,3.49826944451105,0.403692551795842,0.976763124263082,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329702",319.295252614792,1.83424198676536,0.431815873389777,0.977144298697946,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI620157",332.604189195802,2.92309295762948,0.41824088438578,0.977373923865945,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569457",261.920519713326,1.42551959395406,0.367841396830702,0.977429240132397,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570085",298.075008757266,6.92219102810451,0.273011524178704,0.977669686273831,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330195",259.003640927136,2.66540251080984,0.320730593367437,0.977678047560426,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI535792",246.098225504195,6.75282598522353,0.239862101680314,0.977690365700616,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI513898",232.324083918061,3.88807785754665,0.259706367998847,0.978107901813622,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562732",299.858470012793,2.25400549133903,0.399082151350084,0.978173147024137,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI619807",259.904208924707,0.845014827710567,0.423626660180907,0.978176090990176,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330807",232.636689580885,4.16730897897772,0.26940059858686,0.978300325941084,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI145619",288.024216831179,2.31044322024882,0.398475345466595,0.978968079895313,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI585577",242.768823974606,4.63054912910545,0.2570802649493,0.978983324939843,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329545",269.587624348564,2.42077356610153,0.354766559610918,0.979095550749058,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI157030",281.472623237091,2.3736816592921,0.370883591930481,0.97924282888426,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI273465",340.520775369407,1.65025024675992,0.440070493884097,0.979335649427739,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI144134",300.218151669637,1.31911817762387,0.436149957979549,0.979347980895605,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI152816",310.758310841634,4.68682486422838,0.341591811859494,0.979457214215199,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI562981",246.371465946939,4.40141549763818,0.278020979149276,0.979621576393216,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569264",367.642537133089,5.20729299365298,0.36808502225482,0.97998232750192,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI570090",277.561313182529,2.23245339293953,0.340690332114804,0.979983233522251,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI330181",280.926713620273,3.27231206963939,0.347175547865554,0.980099585073961,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI329394",353.992062630364,4.52790499994354,0.382970821237054,0.980161910426151,"Bayesian logistic model of canopy height vs. gdd","simple"
"season_6","PI569447",297.347946334868,2.82329947712162,0.376083192901838,0.980234550361169,"Bayesian logistic model of canopy height vs. gdd","simple"
